access, アクセス・利用権
adequate, 十分な・適切な
annual, 年に一度の・年間の
apparent, 明白な・外見上の
approximate, おおよその・近似する
attitude, 態度・心構え
attribute, 属性・〜のせいにする
civil, 市民の・民事の
code, 規範・暗号・コード
commit, 関与する・約束する・犯す
communicate, 伝える・意思疎通する
concentrate, 集中する
confer, 授与する・協議する
contrast, 対照・対比する
cycle, 周期・循環する
debate, 討論・議論する
despite, 〜にもかかわらず
dimension, 寸法・側面・次元
domestic, 国内の・家庭の
emerge, 現れる・明らかになる
error, 誤り・間違い
ethnic, 民族の・民族的な
goal, 目標・ゴール
grant, 授与する・認める
hence, したがって・それゆえに
hypothesis, 仮説
implement, 実行する・導入する
implicate, 巻き込む・関係づける
impose, 課す・押し付ける
integrate, 統合する・まとめる
internal, 内部の・国内の
investigate, 調査する・捜査する
job, 職業・仕事
label, ラベル・ラベルを貼る
mechanism, 仕組み・構造
obvious, 明らかな・明白な
occupy, 占める・占領する
option, 選択肢
output, 出力・生産高
overall, 全体的な・全般の
parallel, 平行な・類似した
parameter, 変数・要因・基準
phase, 段階・局面
predict, 予測する・予言する
principal, 主要な・校長
prior, 前の・事前の
professional, 専門職の・プロの
project, プロジェクト・企てる・投影する
promote, 促進する・昇進させる
regime, 政権・体制
resolve, 解決する・決意する
retain, 保持する・維持する
series, 連続・シリーズ
statistic, 統計値
status, 地位・状態
stress, 強調・ストレス
subsequent, 続いて起こる・次の
sum, 金額・合計
summary, 要約・概略
undertake, 引き受ける・着手する
