academy, 学問所・学術機関
adjust, 調節する・順応する
alter, 変える・修正する
amend, 改正する・修正する
aware, 気づいている・認識している
capacity, 収容能力・能力
challenge, 挑戦・異議を唱える
clause, 条項・節
compound, 化合物・複合の
conflict, 衝突・対立する
consult, 相談する・参照する
contact, 連絡する・接触
decline, 減少する・辞退する
discrete, 別々の・独立した
draft, 草稿・下書きする
enable, 可能にする
energy, エネルギー・活力
enforce, 施行する・強制する
entity, 実体・組織
equivalent, 同等の・同等のもの
evolve, 発展する・進化する
expand, 拡大する・広げる
expose, さらす・暴露する
external, 外部の・外的な
facilitate, 促進する・容易にする
fundamental, 基本的な・根本的な
generate, 生み出す・生成する
generation, 世代・生成
image, 画像・印象
liberal, 自由主義の・寛大な
licence, 免許・許可証
logic, 論理・論理学
margin, 余白・利ざや・差
medical, 医療の・医学の
mental, 精神の・知能の
modify, 修正する・変更する
monitor, 監視する・観察する
network, 網状組織・ネットワーク
notion, 概念・考え
objective, 目的・客観的な
orient, 適応させる・向ける
perspective, 視点・観点
precise, 正確な・精密な
prime, 最も重要な・最上の
psychology, 心理学
pursue, 追及する・追求する
ratio, 比率・割合
reject, 拒絶する・却下する
revenue, 歳入・収益
stable, 安定した
style, 様式・やり方
substitute, 代用する・代理人
sustain, 維持する・持続させる
symbol, 象徴・記号
target, 標的・目標にする
transit, 通過・輸送
trend, 傾向・動向
version, 版・型
welfare, 福祉・幸福
whereas, 〜であるのに対して
